eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197001050001,1970,1,1,,0,,217,"United States",1,"North America",Wisconsin,Baraboo,43.4685,-89.744299,1,0,,,1,1,0,1,1,"Insurgency/Guerilla Action",0,0,0,3,Bombing/Explosion,,,,,4,Military,27,"Military Barracks/Base/Headquarters/Checkpost",,"Badger Army ammo depot.",217,"United States",,,,,,,,,,,,,,,,,"Weather Underground, Weathermen",,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,"Unknown Explosive Type",,,,,,,,,,,,,Explosive,0,,,0,,,0,3,"Minor (likely < $1 million)",0,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
197001060001,1970,1,6,,0,,217,"United States",1,"North America",Colorado,Denver,39.74001,-104.992259,1,0,,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",1,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",,,,,4,Military,28,"Military Recruiting Station/Academy","Army Recruiting Station","Army Recruiting Station, Denver Colorado",217,"United States",,,,,,,,,,,,,,,,,"Left-Wing Militants",,,,,,"Protest the draft and Vietnam War",0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,"Molotov cocktail",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",305,,0,,,,,,,0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",,"Hewitt Project",-9,-9,0,-9,
197001080001,1970,1,8,,0,,98,Italy,8,"Western Europe",Lazio,Rome,41.89052,12.494249,1,0,,,1,1,1,-9,,,0,1,0,4,Hijacking,,,,,6,"Airports & Aircraft",42,"Aircraft (not at an airport)","Trans World Airline","Flight 802 Boeing 707",217,"United States",,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,1,,,,,,,,,,,,5,Firearms,4,"Rifle/Shotgun (non-automatic)",5,Firearms,3,Handgun,,,,,,,,,"Rifle - carbine; Pistols",0,0,0,0,0,0,0,,,,,0,,,,,Beirut,Beirut,0,,,,,,2,"Hostage(s) released by perpetrators",,,,,,"Hijacking DB",-9,-9,1,1,
197001090001,1970,1,9,,0,,217,"United States",1,"North America",Michigan,Detroit,42.331685,-83.047924,1,0,,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,2,"Government (General)",21,"Government Building/Facility/Office","U.S. Government housing","Packard Properties building of Detroit Michigan",217,"United States",,,,,,,,,,,,,,,,,"Left-Wing Militants",,,,,,,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,Firebomb,0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",,"Building was damaged",0,,,,,,,0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.",,"Hewitt Project",-9,-9,0,-9,
197001090002,1970,1,9,,0,,217,"United States",1,"North America","Puerto Rico","Rio Piedras",18.399712,-66.049987,1,0,"Caparra Shopping Center","1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",1,1,1,1,2,"Other Crime Type",0,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,7,Retail/Grocery/Bakery,"American owned business in Puerto Rico","Baker's Store",217,"United States",,,,,,,,,,,,,,,,,"Armed Commandos of Liberation",,,,,,"To protest United States owned businesses in Puerto Rico",1,,,0,-99,-99,1,10,Unknown,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,"Fire set in back of store",0,0,0,0,0,0,1,2,"Major (likely > $1 million but < $1 billion)",2000000,"Store destroyed",0,,,,,,,0,,,,,,,,,"The fire began at 8:30 PM. The Armed Commandos of Liberation claimed the incident but authorities did not discover any evidence proving that the fire was set intentionally.","Committee on the Judiciary  United States Senate, ""Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism,"" U.S. Government Printing Office, August 6, 1970.","""No Evidence Of Arson Found In Barkers Fire,"" The Virgin Islands Daily News, January 13, 1970.","""Toward People's War for Independence and Socialism in Puerto Rico: In Defense of Armed Struggle,"" Documents and Communiqués from the Revolutionary Public Independence Movement and the Armed Clandestine Movement, January 1987.","Hewitt Project",0,0,0,0,
197001100001,1970,1,10,,0,,499,"East Germany (GDR)",9,"Eastern Europe",,"East Berlin",52.516667,13.4,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,"Government (General)",,,,"Jurists Ball (Palais au Frankturm)",75,Germany,,,,,,,,,,,,,,,,,"Commune 1",,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,"Unknown Explosive Type",,,,,,,,,,,,,Explosive,,,,,,,0,,,,"Damages: none, attempted to detonate device and were unsuccessful (Jurists Ball)",0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,
197001110001,1970,1,11,,0,,65,Ethiopia,11,"Sub-Saharan Africa",Unknown,Unknown,,,5,0,,,1,1,0,1,1,"Insurgency/Guerilla Action",0,1,0,9,Unknown,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)","U.S. Army",Soldier,217,"United States",,,,,,,,,,,,,,,,,"Eritrean Liberation Front",,,,,,,0,,,0,1,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1,,,0,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,
197001120001,1970,1,12,,0,,217,"United States",1,"North America","New York","New York City",40.610069,-73.947971,1,0,Brooklyn,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,"Educational Institution",49,"School/University/Educational Building","High School","James Madison High School",217,"United States",,,,,,,,,,,,,,,,,"Black Nationalists",,,,,,"Suspected motives were to protest the Vietnam War and/or show support for the Black Panther Party and/or show support for the Young Lords.",0,,,0,-99,-99,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,11,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,"Crudely made pipe bomb.  Five inches long and a half inch thick filled with gunpowder that was connected to a fuse.",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",,"Damaged a blackboard and shattered a pane of glass.",0,,,,,,,0,,,,,,,,,"One half hour after the bomb explosion, an anonymous caller warned of a bomb that was going to detonated in the locker room, however this device was never found.  The inscriptions on the wall of the building were ""Panthers 21,"" ""Support Young Lords,"" and ""Americong.""  There was no history of racial violence at James Madison High School.","""Blast Damages Flatbush School,"" New York Times, January 13, 1970.","Linda Greenhouse, ""Madison School Puzzled By Bomb,"" New York Times, January 18, 1970.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Hewitt Project",-9,-9,0,-9,
197001120002,1970,1,12,,0,,217,"United States",1,"North America","Puerto Rico","Rio Grande",18.379998,-65.830948,1,0,,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,4,"Multinational Corporation","General Electric","General Electric factory in Rio Grande Puerto Rico",217,"United States",,,,,,,,,,,,,,,,,Strikers,,,,,,,0,,,0,-99,-99,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,"Unknown Explosive Type",,,,,,,,,,,,,Bomb,0,0,0,0,0,0,-9,4,Unknown,,,0,,,,,,,0,,,,,,,,,,"Committee on the Judiciary  United States Senate, ""Terroristic Activity: The Cuban Connection in Puerto Rico; Castro's Hand in Puerto Rican and U.S. Terrorism,"" U.S. Government Printing Office, August 6, 1970.","""Toward People's War for Independence and Socialism in Puerto Rico: In Defense of Armed Struggle,"" Documents and Communiqués from the Revolutionary Public Independence Movement and the Armed Clandestine Movement, January 1987.",,"Hewitt Project",-9,-9,0,-9,
197001130001,1970,1,13,,0,,217,"United States",1,"North America",Washington,Seattle,47.60356,-122.329439,1,0,,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,1,Business,7,Retail/Grocery/Bakery,"Fuson's Department Store","Fuson's Department Store, Seattle Washington",217,"United States",,,,,,,,,,,,,,,,,"Black Nationalists",,,,,,"Retaliation for the store owner who shot and killed an African American attempting to commit a robbery at his store.",0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,Firebomb,0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",17000,,0,,,,,,,0,,,,,,,,,"The store was a White owned business operating in a predominantly African American neighborhood.  Before the firebombing, the Fuson's received many threats against their store.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",,,"Hewitt Project",-9,-9,0,-9,
197001140001,1970,1,14,,0,,217,"United States",1,"North America",Illinois,Champaign,40.116748,-88.23927,1,0,"Champaign Police Department","1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",,,,,3,Police,22,"Police Building (headquarters, station, school)","Police Department","Champaign Police Department",217,"United States",,,,,,,,,,,,,,,,,"Black Nationalists",,,,,,,0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,19,"Molotov Cocktail/Petrol Bomb",,,,,,,,,,,,,"Firebomb thrown through window",0,0,0,1,1,0,1,3,"Minor (likely < $1 million)",,,0,,,,,,,0,,,,,,,,,,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.","Peter F. Nardulli and Jeffrey M. Stonecash, ""Politics, Professionalism, and Urban Services,"" Oelgeschlager, Gunn & Hain, Publishers, Inc. 1981.","Hewitt Project",-9,-9,0,-9,
197001150001,1970,1,15,,0,,218,Uruguay,3,"South America",Montevideo,Montevideo,-34.891151,-56.187214,1,0,,,1,1,1,0,,,0,1,0,2,"Armed Assault",,,,,8,"Educational Institution",49,"School/University/Educational Building",,"Secondary School, Chemistry Lab",218,Uruguay,,,,,,,,,,,,,,,,,"Tupamaros (Uruguay)",,,,,,,0,,,0,5,,,,,,,,,,,,5,Firearms,2,"Automatic Weapon",,,,,,,,,,,,,"Automatic firearms",0,,,0,,,1,3,"Minor (likely < $1 million)",2500,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
197001190002,1970,1,19,,0,,217,"United States",1,"North America",Washington,Seattle,47.610594,-122.317228,1,0,"Seattle University","1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,"Educational Institution",49,"School/University/Educational Building","Seattle University","Liberal Arts and Garrand buildings, Seattle University",217,"United States",,,,,,,,,,,,,,,,,"Black Nationalists",,,,,,"The incident took place during disturbances between the Black Student Union and the university.",1,,,0,3,-99,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,"Unknown Explosive Type",,,,,,,,,,,,,,0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",2200,"Windows were shattered at the Liberal Arts and Garrand Buildings.",0,,,,,,,0,,,,,,,,,"Witnesses observed three African American males running from the scene.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.","Seattle University, ""1965-1975: Troubled Times,"" <www.seattleu.eduhistorysection6.html>","Hewitt Project",-9,-9,0,-9,
197001190003,1970,1,19,,0,,217,"United States",1,"North America",Washington,Seattle,47.655335,-122.30352,1,0,,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,4,Military,28,"Military Recruiting Station/Academy",R.O.T.C.,"Air Force R.O.T.C. at the University of Washington",217,"United States",,,,,,,,,,,,,,,,,"Student Radicals",,,,,,"The incident took place during heightened antiwar sentiments in Seattle Washington.",0,,,0,2,2,0,,,,,,,,,,6,Explosives/Bombs/Dynamite,16,"Unknown Explosive Type",,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,"Judith and Silas Bissell were both members of Students for a Democratic Society.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Christopher Hewitt, ""Political Violence and Terrorism in Modern America: A Chronology,"" Praeger Security International, 2005.","Earl Caldwell, ""Fear Grows In Seattle As Police Urge F.B.I. Help On Bombings,"" New York Times, April 26, 1970.","Hewitt Project",-9,-9,0,-9,
197001190004,1970,1,19,"January 19-20, 1970",0,,217,"United States",1,"North America","New Jersey","Jersey City",40.728075,-74.077825,1,0,"Front of building","1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages.",1,1,1,0,,,0,1,0,7,"Facility/Infrastructure Attack",2,"Armed Assault",,,22,"Violent Political Party",110,"Party Office/Facility","Black Panther Party",Headquarters,217,"United States",,,,,,,,,,,,,,,,,"White extremists",,,,,,"Intimidate the Black Panther Party.",0,,,0,-99,-99,0,,,,,,,,,,8,Incendiary,18,Arson/Fire,5,Firearms,5,"Unknown Gun Type",,,,,,,,,"Gasoline was placed on the steps of the building and set on fire.  Between 10-30 shots were fired.",0,0,0,0,0,0,1,3,"Minor (likely < $1 million)",,"The fire caused minor damages to the door and the front of the building.  The created caused holes in the door and the cardboard that was covering the windows.",0,,,,,,,0,,,,,,,,,"The building might have been shot at a second time after the Panthers evacuated the building.  The arson took place just before midnight on January 19th and the shooting took place after 1 A.M. on January 20th.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Black Panthers Say Office Was Bombed,"" New York Times, January 20, 1970.","""30 Shots Fired Into Office of Panthers in Jersey City,"" Washington Post, January 21, 1971.","Hewitt Project",-9,-9,0,-9,
